City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Rikitea,PF,75.0,few clouds,-23.1203,-134.9692,People ThankYou
10,Khandbari,NP,72.37,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
11,Denpasar,ID,76.71,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
14,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Evanston,US,85.17,overcast clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
18,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
19,Butaritari,KI,82.4,clear sky,3.0707,172.7902,Isles Sunset Lodge
20,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
26,Sechura,PE,77.74,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
30,Versalles,FR,89.01,clear sky,48.8,2.1333,Waldorf Astoria Versailles - Trianon Palace
32,Sulangan,PH,83.57,overcast clouds,11.1373,123.7228,Maia's Beach Resort
34,Poum,NC,73.92,clear sky,-20.2333,164.0167,
35,Half Moon Bay,US,83.91,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
36,Poso,ID,75.2,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
37,Jamestown,US,86.05,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
38,Porbandar,IN,81.1,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
39,Tessalit,ML,89.47,overcast clouds,20.1986,1.0114,
42,Kapaa,US,82.72,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
43,Mitsamiouli,KM,76.03,light rain,-11.3847,43.2844,Foyer ADM
46,Wagar,SD,79.79,overcast clouds,16.1525,36.2032,
47,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
49,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
51,Khipro,PK,81.09,overcast clouds,25.8285,69.3772,Wali M Dars Hottle
52,Torbay,CA,86.88,scattered clouds,47.6666,-52.7314,Gallows Cove
54,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
55,Basco,PH,84.79,few clouds,20.4487,121.9702,Nathaniel's Lodge
57,Avarua,CK,71.65,few clouds,-21.2078,-159.775,Paradise Inn
58,Nunchia,CO,76.95,overcast clouds,5.6406,-72.1986,La posada
64,Ishigaki,JP,80.73,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
66,Coos Bay,US,79.32,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
71,Atuona,PF,77.05,broken clouds,-9.8,-139.0333,Villa Enata
74,Kirakira,SB,77.59,few clouds,-10.4544,161.9205,SanBiz Lodge
75,Bontang,ID,75.79,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
76,Jamame,SO,74.64,broken clouds,0.0722,42.7506,
80,Yumen,CN,77.07,clear sky,40.2833,97.2,
82,Puerto Baquerizo Moreno,EC,76.19,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
83,Vilhena,BR,88.02,few clouds,-12.7406,-60.1458,Hotel Mirage
85,Hithadhoo,MV,82.11,overcast clouds,-0.6,73.0833,Scoop Guest House
