City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bilibino,RU,68.0546,166.4372,47.43,60,10,5.23,clear sky
1,Souillac,MU,-20.5167,57.5167,68.38,77,40,6.91,scattered clouds
2,Barrow,US,71.2906,-156.7887,39.22,87,100,3.44,overcast clouds
3,Geraldton,AU,-28.7667,114.6,45.01,93,22,11.5,few clouds
4,Ushuaia,AR,-54.8,-68.3,35.26,75,20,8.05,few clouds
5,Rikitea,PF,-23.1203,-134.9692,75.0,80,24,15.14,few clouds
6,Hermanus,ZA,-34.4187,19.2345,52.81,79,0,12.88,clear sky
7,Busselton,AU,-33.65,115.3333,57.13,74,100,14.05,overcast clouds
8,Shache,CN,38.4167,77.2406,92.71,12,81,8.97,broken clouds
9,Chuy,UY,-33.6971,-53.4616,64.83,90,21,3.6,few clouds
10,Khandbari,NP,27.3747,87.2039,72.37,88,100,0.13,overcast clouds
11,Denpasar,ID,-8.65,115.2167,76.71,65,20,10.36,few clouds
12,Sangolqui,EC,-0.3341,-78.4522,59.49,73,96,0.96,light rain
13,Port Alfred,ZA,-33.5906,26.891,60.19,57,77,9.78,broken clouds
14,Puerto Ayora,EC,-0.7393,-90.3518,78.76,87,53,7.0,broken clouds
15,Evanston,US,42.0411,-87.6901,85.17,75,100,11.5,overcast clouds
16,Hamilton,US,39.1834,-84.5333,92.25,62,0,14.97,clear sky
17,Hobart,AU,-42.8794,147.3294,45.05,95,40,4.61,mist
18,Vaini,TO,-21.2,-175.2,71.76,78,20,6.91,few clouds
19,Butaritari,KI,3.0707,172.7902,82.4,68,3,22.46,clear sky
20,Cockburn Town,TC,21.4612,-71.1419,82.36,74,40,12.66,scattered clouds
21,Mahebourg,MU,-20.4081,57.7,68.29,77,40,6.91,scattered clouds
22,Mount Isa,AU,-20.7333,139.5,47.97,81,0,1.14,light rain
23,Thompson,CA,55.7435,-97.8558,69.96,40,75,9.22,broken clouds
24,Qaanaaq,GL,77.484,-69.3632,38.79,94,100,1.57,overcast clouds
25,Cape Town,ZA,-33.9258,18.4232,56.91,73,0,14.0,clear sky
26,Sechura,PE,-5.5569,-80.8222,77.74,58,17,13.06,few clouds
27,Kaitangata,NZ,-46.2817,169.8464,35.02,93,42,1.79,scattered clouds
28,Airai,TL,-8.9266,125.4092,53.46,76,37,1.99,scattered clouds
29,Novoagansk,RU,61.9449,76.6625,47.84,94,100,5.86,overcast clouds
30,Versalles,FR,48.8,2.1333,89.01,41,0,6.91,clear sky
31,Upernavik,GL,72.7868,-56.1549,41.38,96,100,6.06,overcast clouds
32,Sulangan,PH,11.1373,123.7228,83.57,73,98,6.26,overcast clouds
33,Mount Gambier,AU,-37.8333,140.7667,52.7,96,100,9.73,light rain
34,Poum,NC,-20.2333,164.0167,73.92,68,0,11.34,clear sky
35,Half Moon Bay,US,37.4636,-122.4286,83.91,69,100,9.22,mist
36,Poso,ID,-1.3959,120.7524,75.2,83,27,5.97,scattered clouds
37,Jamestown,US,42.097,-79.2353,86.05,66,75,17.27,broken clouds
38,Porbandar,IN,21.6422,69.6093,81.1,85,99,18.39,overcast clouds
39,Tessalit,ML,20.1986,1.0114,89.47,33,85,17.36,overcast clouds
40,Khatanga,RU,71.9667,102.5,67.84,57,99,14.0,overcast clouds
41,Albany,US,42.6001,-73.9662,98.17,39,33,1.01,scattered clouds
42,Kapaa,US,22.0752,-159.319,82.72,68,20,14.97,few clouds
43,Mitsamiouli,KM,-11.3847,43.2844,76.03,72,10,7.52,light rain
44,Pangody,RU,65.85,74.4859,48.18,90,99,17.05,overcast clouds
45,Yellowknife,CA,62.456,-114.3525,64.92,72,100,10.36,overcast clouds
46,Wagar,SD,16.1525,36.2032,79.79,66,100,19.24,overcast clouds
47,Kahului,US,20.8947,-156.47,84.22,58,20,17.27,few clouds
48,Kholodnyy,RU,62.7167,147.95,53.56,91,17,0.83,few clouds
49,Salalah,OM,17.0151,54.0924,77.09,94,75,6.91,broken clouds
50,Mataura,NZ,-46.1927,168.8643,33.15,96,43,2.62,scattered clouds
51,Khipro,PK,25.8285,69.3772,81.09,86,94,10.07,overcast clouds
52,Torbay,CA,47.6666,-52.7314,86.88,45,40,12.66,scattered clouds
53,Qaqortoq,GL,60.7167,-46.0333,49.89,69,94,3.22,overcast clouds
54,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,73,0,17.27,clear sky
55,Basco,PH,20.4487,121.9702,84.79,71,17,6.04,few clouds
56,Dothan,US,31.2232,-85.3905,93.09,59,20,5.75,few clouds
57,Avarua,CK,-21.2078,-159.775,71.65,46,20,2.3,few clouds
58,Nunchia,CO,5.6406,-72.1986,76.95,89,94,3.13,overcast clouds
59,Bluff,NZ,-46.6,168.3333,43.72,83,100,5.95,overcast clouds
60,Avera,US,33.194,-82.5271,94.51,40,26,3.47,scattered clouds
61,Punta Arenas,CL,-53.15,-70.9167,39.31,65,20,18.41,few clouds
62,High Level,CA,58.5169,-117.136,69.91,52,40,9.22,haze
63,Sorland,NO,67.667,12.6934,53.46,79,98,18.19,overcast clouds
64,Ishigaki,JP,24.3448,124.1572,80.73,94,20,2.3,few clouds
65,Narsaq,GL,60.9167,-46.05,62.82,60,74,4.59,broken clouds
66,Coos Bay,US,43.3665,-124.2179,79.32,85,0,23.02,clear sky
67,Ostrovnoy,RU,68.0531,39.5131,50.27,87,85,12.71,overcast clouds
68,East London,ZA,-33.0153,27.9116,60.28,55,32,11.9,scattered clouds
69,Provideniya,RU,64.3833,-173.3,44.08,83,99,5.64,overcast clouds
70,Ilulissat,GL,69.2167,-51.1,40.64,88,100,3.51,overcast clouds
71,Atuona,PF,-9.8,-139.0333,77.05,65,65,19.06,broken clouds
72,Cidreira,BR,-30.1811,-50.2056,66.22,87,96,6.08,overcast clouds
73,Faya,SA,18.3851,42.4509,64.92,58,55,7.43,broken clouds
74,Kirakira,SB,-10.4544,161.9205,77.59,83,19,6.69,few clouds
75,Bontang,ID,0.1333,117.5,75.79,91,100,7.23,overcast clouds
76,Jamame,SO,0.0722,42.7506,74.64,83,64,14.16,broken clouds
77,Flinders,AU,-34.5833,150.8552,49.24,91,1,5.99,clear sky
78,Port Elizabeth,ZA,-33.918,25.5701,54.32,99,75,4.61,light rain
79,Druzhba,UA,52.0428,33.9453,65.28,89,100,7.38,light rain
80,Yumen,CN,40.2833,97.2,77.07,28,5,11.63,clear sky
81,Beni,CD,0.5,29.4667,65.14,94,97,2.06,moderate rain
