City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-07-22 00:10:10,-23.1203,-134.9692,74.08,82,89,24.61
1,Mataura,NZ,2022-07-22 00:10:11,-46.1927,168.8643,43.48,91,100,1.1
2,Kapaa,US,2022-07-22 00:06:01,22.0752,-159.319,84.52,69,75,14.97
3,Bluff,NZ,2022-07-22 00:10:11,-46.6,168.3333,43.81,81,92,8.25
4,Kloulklubed,PW,2022-07-22 00:06:43,7.0419,134.2556,82.9,74,97,1.86
5,East Wenatchee Bench,US,2022-07-22 00:10:12,47.4257,-120.2812,97.97,18,0,8.05
6,Busselton,AU,2022-07-22 00:10:12,-33.65,115.3333,58.77,80,76,8.72
7,Acarau,BR,2022-07-22 00:10:12,-2.8856,-40.12,78.46,77,45,12.73
8,Victoria,HK,2022-07-22 00:09:05,22.2855,114.1577,89.96,81,0,4.0
9,Severo-Kurilsk,RU,2022-07-22 00:05:33,50.6789,156.125,53.64,96,100,21.81
10,Fortuna,US,2022-07-22 00:10:13,40.5982,-124.1573,70.93,71,42,4.0
11,Flin Flon,CA,2022-07-22 00:10:13,54.7682,-101.865,60.44,71,99,11.41
12,Atuona,PF,2022-07-22 00:10:13,-9.8,-139.0333,77.11,71,16,14.7
13,Okhotsk,RU,2022-07-22 00:10:14,59.3833,143.3,62.46,81,100,5.23
14,Caravelas,BR,2022-07-22 00:10:14,-17.7125,-39.2481,70.79,84,5,5.91
15,Tecpan,GT,2022-07-22 00:10:14,14.7623,-90.9947,59.88,91,88,3.09
16,Portland,US,2022-07-22 00:06:06,45.5234,-122.6762,89.56,48,75,10.36
17,Hobart,AU,2022-07-22 00:10:15,-42.8794,147.3294,49.26,79,20,9.22
18,San Rafael,AR,2022-07-22 00:06:09,-34.6177,-68.3301,50.9,53,0,5.23
19,Praya,CV,2022-07-22 00:10:15,14.9215,-23.5087,76.42,83,84,5.82
20,Upernavik,GL,2022-07-22 00:05:23,72.7868,-56.1549,45.37,96,100,15.08
21,Langenhagen,DE,2022-07-22 00:10:16,52.45,9.75,67.28,89,75,10.36
22,Inhambane,MZ,2022-07-22 00:10:16,-23.865,35.3833,66.81,84,0,3.24
23,Bredasdorp,ZA,2022-07-22 00:10:16,-34.5322,20.0403,46.96,87,100,4.38
24,Cabo San Lucas,MX,2022-07-22 00:08:15,22.8909,-109.9124,97.9,48,0,11.5
25,Sokoto,NG,2022-07-22 00:10:17,13.0609,5.239,79.45,68,38,6.15
26,Hermanus,ZA,2022-07-22 00:10:17,-34.4187,19.2345,45.81,74,100,5.12
27,Sobolevo,RU,2022-07-22 00:10:17,54.4299,31.8996,53.49,95,0,7.83
28,Bafq,IR,2022-07-22 00:10:18,31.6128,55.4107,85.89,15,0,1.9
29,Iqaluit,CA,2022-07-22 00:10:18,63.7506,-68.5145,43.7,87,76,4.0
30,Punta Arenas,CL,2022-07-22 00:10:18,-53.15,-70.9167,32.11,86,20,19.57
31,Jamestown,US,2022-07-22 00:06:55,42.097,-79.2353,78.94,65,0,13.8
32,Plettenberg Bay,ZA,2022-07-22 00:10:19,-34.0527,23.3716,55.13,63,74,4.88
33,Kutum,SD,2022-07-22 00:10:19,14.2,24.6667,75.97,54,98,5.95
34,Norman Wells,CA,2022-07-22 00:10:20,65.282,-126.8329,74.73,48,67,4.43
35,Ostrovnoy,RU,2022-07-22 00:06:38,68.0531,39.5131,56.14,84,96,5.53
36,Cururupu,BR,2022-07-22 00:10:20,-1.8283,-44.8683,73.38,90,44,2.8
37,Khani,GE,2022-07-22 00:10:20,41.9563,42.9566,58.57,99,99,1.41
38,Chokurdakh,RU,2022-07-22 00:10:21,70.6333,147.9167,56.21,31,2,6.73
39,Castro,BR,2022-07-22 00:10:21,-24.7911,-50.0119,60.19,85,58,2.24
40,Lorengau,PG,2022-07-22 00:08:00,-2.0226,147.2712,84.38,72,72,10.02
41,Fukue,JP,2022-07-22 00:05:21,32.6881,128.8419,78.21,72,33,12.01
42,Puerto Ayora,EC,2022-07-22 00:10:21,-0.7393,-90.3518,73.36,93,50,3.0
43,Yablonovo,RU,2022-07-22 00:10:22,50.8523,37.3574,52.77,97,83,7.96
44,Zhigansk,RU,2022-07-22 00:10:22,66.7697,123.3711,58.59,97,81,15.43
45,Christchurch,NZ,2022-07-22 00:06:22,-43.5333,172.6333,48.42,66,100,8.05
46,Rio Gallegos,AR,2022-07-22 00:06:47,-51.6226,-69.2181,28.45,86,0,18.41
47,Bani,DO,2022-07-22 00:11:23,18.2833,-70.3333,78.85,77,9,10.13
48,Bimbo,CF,2022-07-22 00:11:23,4.2567,18.4158,69.85,97,100,2.04
49,Chuguyevka,RU,2022-07-22 00:11:23,44.1653,133.8633,67.96,96,85,2.01
50,Albany,US,2022-07-22 00:10:56,42.6001,-73.9662,86.05,62,13,9.6
51,Butaritari,KI,2022-07-22 00:11:24,3.0707,172.7902,81.57,73,48,5.48
52,Aklavik,CA,2022-07-22 00:11:24,68.2191,-135.0107,72.01,43,31,10.65
53,Katsuura,JP,2022-07-22 00:11:24,35.1333,140.3,84.22,84,39,17.16
54,Tiksi,RU,2022-07-22 00:11:25,71.6872,128.8694,43.03,80,94,8.95
55,Luwuk,ID,2022-07-22 00:11:25,-0.9516,122.7875,80.33,81,51,6.24
56,Mahebourg,MU,2022-07-22 00:11:25,-20.4081,57.7,70.25,68,72,15.73
57,Mar Del Plata,AR,2022-07-22 00:07:43,-38.0023,-57.5575,51.1,68,0,1.01
58,Boissevain,CA,2022-07-22 00:11:26,49.2306,-100.0559,74.64,62,5,9.78
59,Kodiak,US,2022-07-22 00:11:26,57.79,-152.4072,54.91,88,100,3.44
60,Faanui,PF,2022-07-22 00:11:26,-16.4833,-151.75,77.02,74,15,10.2
